날짜,순위,영화명,개봉일,일일관객수,누적관객수,일일매출액
2025-01-01,1,하얼빈,2024-12-24,340484,3095720,3290065760
2025-01-01,2,보고타: 마지막 기회의 땅,2024-12-31,93154,194095,880276910
2025-01-01,3,소방관,2024-12-04,80830,3398126,769063260
2025-01-01,4,수퍼 소닉3,2025-01-01,75916,97373,705207940
2025-01-01,5,뽀로로 극장판 바닷속 대모험,2025-01-01,58882,92837,512345060
2025-01-01,6,무파사: 라이온 킹,2024-12-18,41753,698398,394659080
2025-01-01,7,모아나 2,2024-11-27,35255,3408070,337172520
2025-01-01,8,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,28292,596017,266817380
2025-01-01,9,위키드,2024-11-20,20527,2079690,206796180
2025-01-01,10,시빌 워: 분열의 시대,2024-12-31,17822,40589,192154650
2025-01-02,1,하얼빈,2024-12-24,92862,3188582,850528040
2025-01-02,2,보고타: 마지막 기회의 땅,2024-12-31,25303,219398,222931920
2025-01-02,3,소방관,2024-12-04,24580,3422706,224353000
2025-01-02,4,뽀로로 극장판 바닷속 대모험,2025-01-01,17857,110694,146678420
2025-01-02,5,수퍼 소닉3,2025-01-01,11618,108991,104062890
2025-01-02,6,무파사: 라이온 킹,2024-12-18,8664,707062,75023640
2025-01-02,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,8463,604480,78629440
2025-01-02,8,시빌 워: 분열의 시대,2024-12-31,8095,48684,82693800
2025-01-02,9,모아나 2,2024-11-27,7061,3415131,64737260
2025-01-02,10,위키드,2024-11-20,6632,2086322,64480080
2025-01-03,1,하얼빈,2024-12-24,91398,3279980,869700750
2025-01-03,2,소방관,2024-12-04,26722,3449428,256082380
2025-01-03,3,보고타: 마지막 기회의 땅,2024-12-31,21203,240601,198105460
2025-01-03,4,뽀로로 극장판 바닷속 대모험,2025-01-01,17142,127836,145127220
2025-01-03,5,수퍼 소닉3,2025-01-01,11144,120135,104172900
2025-01-03,6,무파사: 라이온 킹,2024-12-18,8896,715958,80004860
2025-01-03,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,8568,613048,81609720
2025-01-03,8,시빌 워: 분열의 시대,2024-12-31,8242,56926,86698500
2025-01-03,9,모아나 2,2024-11-27,7494,3422625,70988920
2025-01-03,10,위키드,2024-11-20,7486,2093808,74829940
2025-01-04,1,하얼빈,2024-12-24,218542,3498522,2140702910
2025-01-04,2,소방관,2024-12-04,55117,3504545,529248680
2025-01-04,3,보고타: 마지막 기회의 땅,2024-12-31,45091,285692,431379240
2025-01-04,4,수퍼 소닉3,2025-01-01,42122,162257,386163580
2025-01-04,5,뽀로로 극장판 바닷속 대모험,2025-01-01,34876,162712,299126140
2025-01-04,6,무파사: 라이온 킹,2024-12-18,21325,737283,201034480
2025-01-04,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,18193,631241,172179500
2025-01-04,8,모아나 2,2024-11-27,16392,3439017,158530460
2025-01-04,9,위키드,2024-11-20,14771,2108579,150394230
2025-01-04,10,시빌 워: 분열의 시대,2024-12-31,13723,70649,144598400
2025-01-05,1,하얼빈,2024-12-24,174400,3672922,1698746070
2025-01-05,2,소방관,2024-12-04,47406,3551951,460626940
